Function,nr_c,dot_product_length,Num Samples,Max ABS difference,Min duration us,Max duration us,Average duration us
c_avx_fixed_dimension_matrix_multiply,2,3,10935,1.1920929e-07,19.0,22.0,19.9
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,10935,1.1920929e-07,19.0,23.0,20.1
c_matrix_multiply,2,3,32805,1.2287812e-07,680.0,760.0,721.6
c_opensal_matrix_multiply,2,3,32805,1.2287812e-07,569.0,638.0,587.3
c_avx_fixed_dimension_matrix_multiply,2,3,32805,1.2287812e-07,64.0,79.0,67.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,32805,1.2287812e-07,69.0,90.0,71.6
c_matrix_multiply,2,3,98415,1.3328004e-07,2059.0,3867.0,2397.8
c_opensal_matrix_multiply,2,3,98415,1.3328004e-07,1715.0,3444.0,1985.5
c_avx_fixed_dimension_matrix_multiply,2,3,98415,1.3328004e-07,246.0,340.0,316.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,98415,1.3328004e-07,234.0,493.0,316.9
c_matrix_multiply,2,4,5,6.664002e-08,0.0,1.0,0.4
c_opensal_matrix_multiply,2,4,5,6.664002e-08,0.0,1.0,0.4
c_avx_fixed_dimension_matrix_multiply,2,4,5,5.9604645e-08,0.0,1.0,0.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,5,6.664002e-08,0.0,1.0,0.2
c_matrix_multiply,2,4,15,5.9604645e-08,0.0,1.0,0.9
c_opensal_matrix_multiply,2,4,15,5.9604645e-08,0.0,2.0,0.7
c_avx_fixed_dimension_matrix_multiply,2,4,15,6.143906e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,15,5.9604645e-08,0.0,1.0,0.2
c_matrix_multiply,2,4,45,6.143906e-08,2.0,3.0,2.1
c_opensal_matrix_multiply,2,4,45,6.143906e-08,1.0,7.0,1.9
c_avx_fixed_dimension_matrix_multiply,2,4,45,6.3657787e-08,0.0,1.0,0.4
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,45,6.143906e-08,0.0,1.0,0.4
c_matrix_multiply,2,4,135,6.664002e-08,5.0,6.0,5.8
c_opensal_matrix_multiply,2,4,135,6.664002e-08,5.0,8.0,5.0
c_avx_fixed_dimension_matrix_multiply,2,4,135,6.664002e-08,0.0,1.0,0.6
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,135,6.664002e-08,0.0,1.0,0.6
c_matrix_multiply,2,4,405,7.0288635e-08,17.0,19.0,17.4
c_opensal_matrix_multiply,2,4,405,7.0288635e-08,14.0,21.0,14.5
c_avx_fixed_dimension_matrix_multiply,2,4,405,6.3657787e-08,1.0,2.0,1.4
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,405,7.0288635e-08,1.0,13.0,1.4
c_matrix_multiply,2,4,1215,8.4293696e-08,48.0,69.0,50.7
c_opensal_matrix_multiply,2,4,1215,8.4293696e-08,43.0,63.0,44.4
c_avx_fixed_dimension_matrix_multiply,2,4,1215,6.664002e-08,4.0,5.0,4.7
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,1215,8.4293696e-08,3.0,4.0,3.7
c_matrix_multiply,2,4,3645,9.0102752e-08,149.0,238.0,157.8
c_opensal_matrix_multiply,2,4,3645,9.0102752e-08,80.0,143.0,117.8
c_avx_fixed_dimension_matrix_multiply,2,4,3645,7.5339337e-08,8.0,14.0,8.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,3645,9.0102752e-08,6.0,10.0,7.0
c_matrix_multiply,2,4,10935,1.20137e-07,287.0,329.0,296.2
c_opensal_matrix_multiply,2,4,10935,1.20137e-07,240.0,344.0,251.1
c_avx_fixed_dimension_matrix_multiply,2,4,10935,1.20137e-07,26.0,33.0,26.7
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,10935,1.20137e-07,23.0,44.0,23.4
c_matrix_multiply,2,4,32805,2.149076e-07,903.0,1522.0,1021.3
c_opensal_matrix_multiply,2,4,32805,2.149076e-07,721.0,812.0,751.3
c_avx_fixed_dimension_matrix_multiply,2,4,32805,2.149076e-07,95.0,115.0,98.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,32805,2.149076e-07,80.0,97.0,89.9
c_matrix_multiply,2,4,98415,1.2287812e-07,2597.0,4178.0,3407.2
c_opensal_matrix_multiply,2,4,98415,1.2287812e-07,3488.0,3726.0,3532.9
c_avx_fixed_dimension_matrix_multiply,2,4,98415,1.3328004e-07,314.0,425.0,394.9
c_avx_fixed_dimension_accumulate_matrix_multiply,2,4,98415,1.2287812e-07,324.0,2258.0,391.6
c_matrix_multiply,2,5,5,5.9604645e-08,0.0,1.0,0.3
c_opensal_matrix_multiply,2,5,5,5.9604645e-08,0.0,1.0,0.3
c_avx_fixed_dimension_matrix_multiply,2,5,5,5.9604645e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,5,5.9604645e-08,0.0,1.0,0.2
c_matrix_multiply,2,5,15,6.664002e-08,0.0,1.0,0.6
c_opensal_matrix_multiply,2,5,15,6.664002e-08,0.0,1.0,0.6
c_avx_fixed_dimension_matrix_multiply,2,5,15,6.664002e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,15,6.664002e-08,0.0,1.0,0.2
c_matrix_multiply,2,5,45,1.074538e-07,1.0,2.0,1.6
c_opensal_matrix_multiply,2,5,45,1.074538e-07,1.0,2.0,1.4
c_avx_fixed_dimension_matrix_multiply,2,5,45,6.664002e-08,0.0,1.0,0.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,45,1.074538e-07,0.0,1.0,0.2
c_matrix_multiply,2,5,135,9.0640228e-08,4.0,8.0,4.5
c_opensal_matrix_multiply,2,5,135,9.0640228e-08,3.0,4.0,3.7
c_avx_fixed_dimension_matrix_multiply,2,5,135,9.2158594e-08,0.0,1.0,0.6
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,135,9.0640228e-08,0.0,1.0,0.4
c_matrix_multiply,2,5,405,1.1920929e-07,12.0,27.0,12.5
c_opensal_matrix_multiply,2,5,405,1.1920929e-07,10.0,28.0,11.0
c_avx_fixed_dimension_matrix_multiply,2,5,405,1.2287812e-07,1.0,2.0,1.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,405,1.1920929e-07,0.0,2.0,1.0
c_matrix_multiply,2,5,1215,1.20137e-07,37.0,56.0,38.5
c_opensal_matrix_multiply,2,5,1215,1.20137e-07,32.0,51.0,32.7
c_avx_fixed_dimension_matrix_multiply,2,5,1215,1.20137e-07,4.0,7.0,4.1
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,1215,1.20137e-07,2.0,6.0,3.0
c_matrix_multiply,2,5,3645,1.3328004e-07,115.0,1325.0,132.0
c_opensal_matrix_multiply,2,5,3645,1.3328004e-07,99.0,126.0,102.6
c_avx_fixed_dimension_matrix_multiply,2,5,3645,1.2287812e-07,12.0,20.0,12.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,3645,1.3328004e-07,8.0,13.0,9.0
c_matrix_multiply,2,5,10935,1.6858739e-07,358.0,1204.0,397.0
c_opensal_matrix_multiply,2,5,10935,1.6858739e-07,290.0,353.0,296.6
c_avx_fixed_dimension_matrix_multiply,2,5,10935,1.6858739e-07,36.0,85.0,37.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,10935,1.6858739e-07,27.0,32.0,28.3
c_matrix_multiply,2,5,32805,1.20137e-07,1045.0,1228.0,1182.7
c_opensal_matrix_multiply,2,5,32805,1.20137e-07,891.0,997.0,931.5
c_avx_fixed_dimension_matrix_multiply,2,5,32805,1.2287812e-07,121.0,153.0,129.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,32805,1.20137e-07,106.0,118.0,108.5
c_matrix_multiply,2,5,98415,2.3841858e-07,3103.0,5091.0,4139.5
c_opensal_matrix_multiply,2,5,98415,2.3841858e-07,4293.0,5005.0,4561.8
c_avx_fixed_dimension_matrix_multiply,2,5,98415,2.3888379e-07,482.0,606.0,557.7
c_avx_fixed_dimension_accumulate_matrix_multiply,2,5,98415,2.3841858e-07,409.0,515.0,461.3
c_matrix_multiply,2,6,5,7.0288635e-08,0.0,1.0,0.3
c_opensal_matrix_multiply,2,6,5,7.0288635e-08,0.0,1.0,0.3
c_avx_fixed_dimension_matrix_multiply,2,6,5,3.7252903e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,5,7.0288635e-08,0.0,1.0,0.2
c_matrix_multiply,2,6,15,1.20137e-07,0.0,1.0,0.7
c_opensal_matrix_multiply,2,6,15,1.20137e-07,0.0,1.0,0.6
c_avx_fixed_dimension_matrix_multiply,2,6,15,1.2128666e-07,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,15,1.20137e-07,0.0,1.0,0.2
c_matrix_multiply,2,6,45,6.664002e-08,1.0,5.0,1.8
c_opensal_matrix_multiply,2,6,45,6.664002e-08,1.0,8.0,1.7
c_avx_fixed_dimension_matrix_multiply,2,6,45,6.0068501e-08,0.0,1.0,0.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,45,6.664002e-08,0.0,1.0,0.3
c_matrix_multiply,2,6,135,1.20137e-07,5.0,6.0,5.0
c_opensal_matrix_multiply,2,6,135,1.20137e-07,4.0,142.0,5.7
c_avx_fixed_dimension_matrix_multiply,2,6,135,2.3868037e-07,0.0,2.0,0.6
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,135,1.20137e-07,0.0,2.0,0.5
c_matrix_multiply,2,6,405,1.2287812e-07,14.0,579.0,20.4
c_opensal_matrix_multiply,2,6,405,1.2287812e-07,12.0,16.0,12.8
c_avx_fixed_dimension_matrix_multiply,2,6,405,1.2287812e-07,1.0,2.0,1.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,405,1.2287812e-07,1.0,2.0,1.2
c_matrix_multiply,2,6,1215,1.8848644e-07,43.0,48.0,44.1
c_opensal_matrix_multiply,2,6,1215,1.8848644e-07,39.0,62.0,39.7
c_avx_fixed_dimension_matrix_multiply,2,6,1215,1.8128046e-07,5.0,6.0,5.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,1215,1.8848644e-07,3.0,5.0,4.0
c_matrix_multiply,2,6,3645,1.3328004e-07,138.0,4457.0,188.3
c_opensal_matrix_multiply,2,6,3645,1.3328004e-07,116.0,136.0,124.5
c_avx_fixed_dimension_matrix_multiply,2,6,3645,1.4901161e-07,16.0,21.0,16.9
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,3645,1.3328004e-07,12.0,24.0,12.7
c_matrix_multiply,2,6,10935,1.8848644e-07,401.0,1554.0,416.9
c_opensal_matrix_multiply,2,6,10935,1.8848644e-07,340.0,362.0,344.9
c_avx_fixed_dimension_matrix_multiply,2,6,10935,1.8848644e-07,46.0,51.0,46.9
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,10935,1.8848644e-07,35.0,39.0,35.5
c_matrix_multiply,2,6,32805,2.0861626e-07,1211.0,2847.0,1341.5
c_opensal_matrix_multiply,2,6,32805,2.0861626e-07,1074.0,2384.0,1156.2
c_avx_fixed_dimension_matrix_multiply,2,6,32805,2.1073424e-07,160.0,342.0,171.9
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,32805,2.0861626e-07,140.0,16774.0,397.1
c_matrix_multiply,2,6,98415,1.8128046e-07,3901.0,6945.0,5133.6
c_opensal_matrix_multiply,2,6,98415,1.8128046e-07,5089.0,5765.0,5316.4
c_avx_fixed_dimension_matrix_multiply,2,6,98415,1.7943374e-07,714.0,3670.0,799.4
c_avx_fixed_dimension_accumulate_matrix_multiply,2,6,98415,1.8128046e-07,421.0,670.0,557.1
c_matrix_multiply,2,7,5,8.4293696e-08,0.0,1.0,0.3
c_opensal_matrix_multiply,2,7,5,8.4293696e-08,0.0,1.0,0.3
c_avx_fixed_dimension_matrix_multiply,2,7,5,8.4293696e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,5,8.4293696e-08,0.0,4.0,0.2
c_matrix_multiply,2,7,15,6.664002e-08,0.0,1.0,0.8
c_opensal_matrix_multiply,2,7,15,6.664002e-08,0.0,1.0,0.7
c_avx_fixed_dimension_matrix_multiply,2,7,15,8.4293696e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,15,6.664002e-08,0.0,1.0,0.2
c_matrix_multiply,2,7,45,1.2287812e-07,2.0,21.0,2.2
c_opensal_matrix_multiply,2,7,45,1.2287812e-07,1.0,3.0,1.8
c_avx_fixed_dimension_matrix_multiply,2,7,45,1.3328004e-07,0.0,12.0,0.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,45,1.2287812e-07,0.0,1.0,0.3
c_matrix_multiply,2,7,135,1.20137e-07,6.0,14.0,6.2
c_opensal_matrix_multiply,2,7,135,1.20137e-07,5.0,6.0,5.1
c_avx_fixed_dimension_matrix_multiply,2,7,135,1.20137e-07,0.0,2.0,0.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,135,1.20137e-07,0.0,2.0,0.6
c_matrix_multiply,2,7,405,1.2287812e-07,17.0,21.0,18.1
c_opensal_matrix_multiply,2,7,405,1.2287812e-07,14.0,21.0,15.0
