Row,multiply_type,nr_c,dot_product_length,num_vfops,load_left_block_throughput,load_left_throughput_bottlenck,load_left_num_uops,operate_block_throughput,operate_throughput_bottlenck,operate_num_uops
cmat_mulx_avx_nr_c_2_dot_product_length_2,cmat_mulx_avx,2,2,14,4.95,Backend,10,7.68,Backend,28
cmat_mulx_avx_nr_c_2_dot_product_length_3,cmat_mulx_avx,2,3,22,10,Backend,26,11.79,Backend,45
cmat_mulx_avx_nr_c_2_dot_product_length_4,cmat_mulx_avx,2,4,30,15,Backend,42,16.47,Backend,62
cmat_mulx_avx_nr_c_2_dot_product_length_5,cmat_mulx_avx,2,5,38,22.89,Backend,60,21,Backend,80
cmat_mulx_avx_nr_c_2_dot_product_length_6,cmat_mulx_avx,2,6,46,25.11,Backend,74,25.37,Backend,100
cmat_mulx_avx_nr_c_2_dot_product_length_7,cmat_mulx_avx,2,7,54,29.21,Backend,86,31,Backend,123
cmat_mulx_avx_nr_c_2_dot_product_length_8,cmat_mulx_avx,2,8,62,38,Backend,98,38,Backend,146
cmat_mulx_avx_nr_c_2_dot_product_length_9,cmat_mulx_avx,2,9,70,42,Backend,110,44,Backend,173
cmat_mulx_avx_nr_c_2_dot_product_length_10,cmat_mulx_avx,2,10,78,46,Backend,122,50.05,Backend,196
cmat_mulx_avx_nr_c_2_dot_product_length_11,cmat_mulx_avx,2,11,86,50,Backend,134,56,Backend,219
cmat_mulx_avx_nr_c_2_dot_product_length_12,cmat_mulx_avx,2,12,94,54,Backend,146,61,Backend,242
cmat_mulx_avx_nr_c_2_dot_product_length_13,cmat_mulx_avx,2,13,102,58,Backend,158,69,Backend,265
cmat_mulx_avx_nr_c_2_dot_product_length_14,cmat_mulx_avx,2,14,110,62,Backend,170,74,Backend,288
cmat_mulx_avx_nr_c_2_dot_product_length_15,cmat_mulx_avx,2,15,118,66,Backend,182,81,Backend,311
cmat_mulx_avx_nr_c_2_dot_product_length_16,cmat_mulx_avx,2,16,126,70,Backend,194,86,Backend,334
cmat_mulx_avx_nr_c_2_dot_product_length_17,cmat_mulx_avx,2,17,134,80,Backend,206,93,Backend,361
cmat_mulx_avx_nr_c_2_dot_product_length_18,cmat_mulx_avx,2,18,142,78,Backend,218,100,Backend,384
cmat_mulx_avx_nr_c_2_dot_product_length_19,cmat_mulx_avx,2,19,150,82,Backend,230,106,Backend,407
cmat_mulx_avx_nr_c_2_dot_product_length_20,cmat_mulx_avx,2,20,158,86,Backend,242,112,Backend,430
cmat_mulx_avx_nr_c_3_dot_product_length_2,cmat_mulx_avx,3,2,21,9.21,Backend,21,11.26,Backend,41
cmat_mulx_avx_nr_c_3_dot_product_length_3,cmat_mulx_avx,3,3,33,17,Backend,45,17.26,Backend,65
cmat_mulx_avx_nr_c_3_dot_product_length_4,cmat_mulx_avx,3,4,45,23.32,Backend,67,23.53,Backend,88
cmat_mulx_avx_nr_c_3_dot_product_length_5,cmat_mulx_avx,3,5,57,36,Backend,91,30,Backend,112
cmat_mulx_avx_nr_c_3_dot_product_length_6,cmat_mulx_avx,3,6,69,38,Backend,111,36.26,Backend,139
cmat_mulx_avx_nr_c_3_dot_product_length_7,cmat_mulx_avx,3,7,81,46.05,Backend,129,45,Backend,170
cmat_mulx_avx_nr_c_3_dot_product_length_8,cmat_mulx_avx,3,8,93,54.58,Backend,147,53.47,Backend,201
cmat_mulx_avx_nr_c_3_dot_product_length_9,cmat_mulx_avx,3,9,105,66,Backend,165,62,Backend,237
cmat_mulx_avx_nr_c_3_dot_product_length_10,cmat_mulx_avx,3,10,117,72,Backend,183,69.05,Backend,268
cmat_mulx_avx_nr_c_3_dot_product_length_11,cmat_mulx_avx,3,11,129,78,Backend,201,77,Backend,299
cmat_mulx_avx_nr_c_3_dot_product_length_12,cmat_mulx_avx,3,12,141,84,Backend,219,84.95,Backend,330
cmat_mulx_avx_nr_c_3_dot_product_length_13,cmat_mulx_avx,3,13,153,90,Backend,237,95.05,Backend,361
cmat_mulx_avx_nr_c_3_dot_product_length_14,cmat_mulx_avx,3,14,165,96,Backend,255,102.05,Backend,392
cmat_mulx_avx_nr_c_3_dot_product_length_15,cmat_mulx_avx,3,15,177,102,Backend,273,109.95,Backend,423
