Row,multiply_type,nr_c,dot_product_length,num_vfops,load_left_block_throughput,load_left_throughput_bottlenck,load_left_num_uops,operate_block_throughput,operate_throughput_bottlenck,operate_num_uops
cmat_mulx_avx_nr_c_2_dot_product_length_2,cmat_mulx_avx,2,2,14,4.95,Backend,10,7.47,Backend,28
cmat_mulx_avx_nr_c_2_dot_product_length_3,cmat_mulx_avx,2,3,22,8.1,Backend,26,12,Backend,45
cmat_mulx_avx_nr_c_2_dot_product_length_4,cmat_mulx_avx,2,4,30,12,Backend,42,15.95,Backend,62
cmat_mulx_avx_nr_c_2_dot_product_length_5,cmat_mulx_avx,2,5,38,19,Backend,60,21,Backend,80
cmat_mulx_avx_nr_c_2_dot_product_length_6,cmat_mulx_avx,2,6,46,24,Backend,74,26,Backend,99
cmat_mulx_avx_nr_c_2_dot_product_length_7,cmat_mulx_avx,2,7,54,28,Backend,86,31.53,Backend,122
cmat_mulx_avx_nr_c_2_dot_product_length_8,cmat_mulx_avx,2,8,62,32,Backend,98,37,Backend,145
cmat_mulx_avx_nr_c_2_dot_product_length_9,cmat_mulx_avx,2,9,70,36,Backend,110,42.53,Backend,172
cmat_mulx_avx_nr_c_2_dot_product_length_10,cmat_mulx_avx,2,10,78,40,Backend,122,49.47,Backend,195
cmat_mulx_avx_nr_c_2_dot_product_length_11,cmat_mulx_avx,2,11,86,44,Backend,134,55,Backend,218
cmat_mulx_avx_nr_c_2_dot_product_length_12,cmat_mulx_avx,2,12,94,48,Backend,146,60,Backend,241
cmat_mulx_avx_nr_c_2_dot_product_length_13,cmat_mulx_avx,2,13,102,52,Backend,158,65,Backend,264
cmat_mulx_avx_nr_c_2_dot_product_length_14,cmat_mulx_avx,2,14,110,56,Backend,170,72,Backend,287
cmat_mulx_avx_nr_c_2_dot_product_length_15,cmat_mulx_avx,2,15,118,60,Backend,182,77,Backend,310
cmat_mulx_avx_nr_c_2_dot_product_length_16,cmat_mulx_avx,2,16,126,64,Backend,194,82,Backend,333
cmat_mulx_avx_nr_c_2_dot_product_length_17,cmat_mulx_avx,2,17,134,68,Backend,206,89,Backend,360
cmat_mulx_avx_nr_c_2_dot_product_length_18,cmat_mulx_avx,2,18,142,72,Backend,218,94,Backend,383
cmat_mulx_avx_nr_c_2_dot_product_length_19,cmat_mulx_avx,2,19,150,76,Backend,230,101,Backend,406
cmat_mulx_avx_nr_c_2_dot_product_length_20,cmat_mulx_avx,2,20,158,80,Backend,242,106,Backend,429
cmat_mulx_avx_nr_c_3_dot_product_length_2,cmat_mulx_avx,3,2,21,7.8,Backend,21,11.21,Backend,41
cmat_mulx_avx_nr_c_3_dot_product_length_3,cmat_mulx_avx,3,3,33,12.79,Backend,45,17.47,Backend,65
cmat_mulx_avx_nr_c_3_dot_product_length_4,cmat_mulx_avx,3,4,45,20,Backend,67,23.53,Backend,88
cmat_mulx_avx_nr_c_3_dot_product_length_5,cmat_mulx_avx,3,5,57,29,Backend,91,29.47,Backend,112
cmat_mulx_avx_nr_c_3_dot_product_length_6,cmat_mulx_avx,3,6,69,36,Backend,111,36.68,Backend,139
cmat_mulx_avx_nr_c_3_dot_product_length_7,cmat_mulx_avx,3,7,81,42,Backend,129,46,Backend,170
cmat_mulx_avx_nr_c_3_dot_product_length_8,cmat_mulx_avx,3,8,93,48,Backend,147,52,Backend,202
cmat_mulx_avx_nr_c_3_dot_product_length_9,cmat_mulx_avx,3,9,105,54,Backend,165,61,Backend,238
cmat_mulx_avx_nr_c_3_dot_product_length_10,cmat_mulx_avx,3,10,117,60,Backend,183,68.95,Backend,269
cmat_mulx_avx_nr_c_3_dot_product_length_11,cmat_mulx_avx,3,11,129,66,Backend,201,77.47,Backend,300
cmat_mulx_avx_nr_c_3_dot_product_length_12,cmat_mulx_avx,3,12,141,72,Backend,219,84,Backend,331
cmat_mulx_avx_nr_c_3_dot_product_length_13,cmat_mulx_avx,3,13,153,78,Backend,237,91.05,Backend,362
cmat_mulx_avx_nr_c_3_dot_product_length_14,cmat_mulx_avx,3,14,165,84,Backend,255,100.05,Backend,393
cmat_mulx_avx_nr_c_3_dot_product_length_15,cmat_mulx_avx,3,15,177,90,Backend,273,106.95,Backend,424
cmat_mulx_avx_nr_c_3_dot_product_length_16,cmat_mulx_avx,3,16,189,96,Backend,291,114,Backend,455
cmat_mulx_avx_nr_c_3_dot_product_length_17,cmat_mulx_avx,3,17,201,102,Backend,309,122,Backend,491
cmat_mulx_avx_nr_c_3_dot_product_length_18,cmat_mulx_avx,3,18,213,108,Backend,327,129.47,Backend,522
cmat_mulx_avx_nr_c_3_dot_product_length_19,cmat_mulx_avx,3,19,225,114,Backend,345,139.05,Backend,553
cmat_mulx_avx_nr_c_3_dot_product_length_20,cmat_mulx_avx,3,20,237,120,Backend,363,144.53,Backend,584
cmat_mulx_avx_nr_c_4_dot_product_length_2,cmat_mulx_avx,4,2,28,10.89,Backend,34,14.68,Backend,55
cmat_mulx_avx_nr_c_4_dot_product_length_3,cmat_mulx_avx,4,3,44,18,Backend,64,23,Backend,85
cmat_mulx_avx_nr_c_4_dot_product_length_4,cmat_mulx_avx,4,4,60,28,Backend,92,30.53,Backend,114
cmat_mulx_avx_nr_c_4_dot_product_length_5,cmat_mulx_avx,4,5,76,39,Backend,122,39.53,Backend,144
cmat_mulx_avx_nr_c_4_dot_product_length_6,cmat_mulx_avx,4,6,92,48,Backend,148,49,Backend,178
cmat_mulx_avx_nr_c_4_dot_product_length_7,cmat_mulx_avx,4,7,108,56,Backend,172,59.95,Backend,217
cmat_mulx_avx_nr_c_4_dot_product_length_8,cmat_mulx_avx,4,8,124,64,Backend,196,68,Backend,256
cmat_mulx_avx_nr_c_4_dot_product_length_9,cmat_mulx_avx,4,9,140,72,Backend,220,78,Backend,301
cmat_mulx_avx_nr_c_4_dot_product_length_10,cmat_mulx_avx,4,10,156,80,Backend,244,89,Backend,340
cmat_mulx_avx_nr_c_4_dot_product_length_11,cmat_mulx_avx,4,11,172,88,Backend,268,100,Backend,379
cmat_mulx_avx_nr_c_4_dot_product_length_12,cmat_mulx_avx,4,12,188,96,Backend,292,108,Backend,418
cmat_mulx_avx_nr_c_4_dot_product_length_13,cmat_mulx_avx,4,13,204,104,Backend,316,118,Backend,457
cmat_mulx_avx_nr_c_4_dot_product_length_14,cmat_mulx_avx,4,14,220,112,Backend,340,128,Backend,496
cmat_mulx_avx_nr_c_4_dot_product_length_15,cmat_mulx_avx,4,15,236,120,Backend,364,137,Backend,535
